Zeit [s],Ankerstrom [A],Drehzahl [1/min]
0.71,0.298915632999389,5.25217679704365e-06
0.715,0.298914726377017,1.54977621524002e-05
0.72,0.298913594976665,1.87115158761001e-05
0.725,0.298912668957105,1.48928155487456e-05
0.73,0.298912238388104,6.49239117111196e-06
0.735,0.298912374452989,-2.83227023718568e-06
0.74,0.298912939494036,-9.68394722897208e-06
0.745,0.298913668251411,-1.20683704509971e-05
0.75,0.298914280641857,-9.86592978710552e-06
0.755,0.298914581744623,-4.5748357447096e-06
0.76,0.298914516180921,1.46872351833138e-06
0.765,0.298914165195168,6.03832241214687e-06
0.77,0.298913696579891,7.775855750642e-06
0.775,0.298913292407849,6.52663923565951e-06
0.78,0.298913083295043,3.20168452459188e-06
0.785,0.29891311106776,-7.09550357928919e-07
0.79,0.298913328323123,-3.75044000712673e-06
0.795,0.298913629161169,-4.99968256614847e-06
0.8,0.298913895412598,-4.30717939601037e-06
0.805,1.46461124784993,2.8513996224459
0.81,3.67424823688776,17.6088216997429
0.815,4.94295865007959,45.2449978098049
0.82,5.15650521341386,76.7822078438569
0.825,5.18659068096584,108.862453043121
0.83,5.18982879452149,140.940457677514
0.835,5.19020090591362,172.946774240418
0.84,5.19053464774668,204.879325853378
0.845,5.19094939431709,236.742438934567
0.85,5.19138034053155,268.540063295383
0.855,5.19179958904396,300.275628583422
0.86,5.1922001241856,331.952260203975
0.865,5.19258123295175,363.57287030935
0.87,5.1929437028957,395.140188053584
0.875,5.19328860363529,426.656771901981
0.88,4.86030979364128,457.328204005895
0.885,4.2148295129141,484.47888382653
0.89,3.56649711837057,507.148688690822
0.895,3.15989100300813,526.185555236334
0.9,3.11366369376227,543.671140026068
0.905,3.40060111089202,561.982965559144
0.91,3.8800693476825,582.9085902416
0.915,4.36513476716581,607.106339508642
0.92,4.69510179024156,634.045444489415
0.925,4.78743572962373,662.370407637313
0.93,4.6542819482889,690.495681222434
0.935,4.38343763932281,717.187420217443
0.94,4.09601079874706,741.932035458236
0.945,3.89916722091412,764.996994790199
0.95,3.85116509908622,787.211183690547
0.955,3.94889154494258,809.585290880547
0.96,4.1386848563404,832.929298146757
0.965,4.34301090435001,857.600408387144
0.97,4.49122387672725,883.448402051828
0.975,4.54307746879785,909.946244765422
0.98,4.49795877544428,936.431316416443
0.985,4.38888679185519,962.355959501484
0.99,4.26576300970639,987.458774852693
0.995,4.17538928456662,1011.80959138977
1,4.145707320833,1035.73235415543
1.005,4.17907272090423,1059.65193612764
1.01,4.25547878347622,1083.93007763397
1.015,4.34304322693452,1108.74917251108
1.02,4.41096984727465,1134.07674881376
1.025,4.44009073255482,1159.71027700145
1.03,4.42770601618578,1185.37407953102
1.035,4.38593684793353,1210.82645144631
1.04,4.33518522716108,1235.93814653521
1.045,4.29574415873986,1260.71945023097
1.05,4.28076547237416,1285.29451589183
1.055,4.29281599276138,1309.84018043753
1.06,4.32465445835699,1334.5161134694
1.065,4.36329498119165,1359.41194126293
1.07,4.39542745703754,1384.52705213259
1.075,4.41209728833203,1409.78495827051
1.08,4.41113431666282,1435.07178214266
1.085,4.39684087192451,1460.28169111731
1.09,4.37747872778311,1485.35239158111
1.095,4.36177495365973,1510.27990713803
1.1,4.35581573261304,1535.11076284037
1.105,4.36134690567915,1559.91784762873
1.11,4.37585065533887,1584.77091436459
1.115,4.39409214709477,1609.71281638538
1.12,4.41036711021807,1634.74883848745
1.125,4.42055868759955,1659.85076992215
1.13,4.42331852933314,1684.97198256946
1.135,4.42009938218482,1710.06653965066
1.14,4.41420864111389,1735.10505702202
1.145,4.40936602313642,1760.08231384389
1.15,4.40834486205923,1785.01526555125
1.155,4.41215622196973,1809.93366093046
1.16,4.41997401549163,1834.86768973133
1.165,4.42971049005831,1859.83742264838
1.17,4.43893960850491,1884.84743254696
1.175,4.44579252928489,1909.88765085059
1.18,4.44951826790191,1934.93917935429
1.185,4.45056735593977,1959.98225653011
1.19,4.45024453717182,1985.00326955654
1.195,4.45011911255695,2009.99852472934
1.2,4.45143609016433,2034.97397612363
1.205,3.28903906129329,2057.08858694555
1.21,1.08448915332345,2067.28461309588
1.215,-1.15169579376137,2062.23864702795
1.22,-2.59956405006187,2044.63176103517
1.225,-2.85064128239545,2021.32028878755
1.23,-1.9802065622124,2000.24948407221
1.235,-0.44551814301198,1987.49333244817
1.24,1.13395568622891,1985.41388056763
1.245,2.21791475481961,1992.40430325192
1.25,2.52100862202155,2004.05522773255
1.255,2.07224826802759,2015.11422027446
1.26,1.15572512987937,2021.43196076826
1.265,0.171946646157446,2021.22036868793
1.27,-0.519499839355023,2015.29343213105
1.275,-0.71831739174273,2006.36695326383
1.28,-0.42788921512044,1997.80856267266
1.285,0.1780993066427,1992.35889514289
1.29,0.842965065032132,1991.2728953675
1.295,1.32942245290613,1994.11350670253
1.3,1.49909942679618,1999.16663787367
1.305,1.34513561180688,2004.23522928165
1.31,0.973919555917618,2007.47660634888
1.315,0.550324319060584,2007.98515953179
1.32,0.231228083037671,2005.95784986674
1.325,0.112275079241025,2002.45064475779
1.33,0.204299740996648,1998.87491486842
1.335,0.442939889288731,1996.44976285475
1.34,0.722872647540993,1995.80758110457
1.345,0.940895808852022,1996.86581063502
1.35,1.03148609513296,1998.96754731369
1.355,0.983658014724663,2001.19976657752
1.36,0.836207293530476,2002.75056040885
1.365,0.656396223673822,2003.17504726658
1.37,0.512097931624413,2002.49188835625
1.375,0.448113020796565,2001.10352114871
1.38,0.474234665088621,1999.59558602997
1.385,0.567361357998771,1998.50428417997
1.39,0.684711257237675,1998.1375829899
1.395,0.78179669619451,1998.5039402633
1.4,0.828161049726765,1999.35639171784
1.405,0.815759768289394,2000.31850788013
1.41,0.758230354666104,2001.03554074179
1.415,0.682739689806259,2001.29424911376
1.42,0.618411569892906,2001.07467806425
1.425,0.585895831609873,2000.52660479102
1.43,0.591525379576051,1999.8906985983
1.435,0.627369936934652,1999.40050514268
1.44,0.67623942562573,1999.20234590327
1.445,0.71911838246032,1999.31815631075
1.45,0.742064265844585,1999.65741948326
1.455,0.74025604271201,2000.06631619487
1.46,0.718234363599954,2000.39114488613
1.465,0.686849489004729,2000.53171796012
1.47,0.658496329934704,2000.46775031606
1.475,0.642562730101102,2000.25331886119
1.48,0.642639713061119,1999.98634595039
1.485,0.656186065338247,1999.76764731545
1.49,0.676377423956108,1999.66542334294
1.495,0.695153132022968,1999.69668022568
1.5,0.706213110953245,1999.82937370506
1.505,0.706930830956721,2000.00126724737
1.51,0.698688045182107,2000.14631723117
1.515,0.685763423136696,2000.21822773875
1.52,0.673389116151667,2000.20343227448
1.525,0.665781854766136,2000.12065430817
1.53,0.664837030239615,2000.0093125257
1.535,0.669835344388267,1999.91255777714
1.54,0.678104575080377,1999.8616837176
1.545,0.686256027940301,1999.86711408239
1.55,0.691475367637473,1999.91806412624
1.555,0.692410540777689,1999.98962813527
1.56,0.689411564184936,2000.05365994135
1.565,0.684140871984689,2000.08906685927
1.57,0.678788781655515,2000.08803095101
1.575,0.675228978130706,2000.05663617941
1.58,0.674417035887316,2000.01056422318
1.585,0.676202801828232,1999.96813163254
1.59,0.679556696905137,1999.94350738976
1.595,0.683066096495587,1999.94244021411
1.6,0.685486710893508,1999.96158574295
1.605,0.686148632087909,1999.99110066836
1.61,0.685098777506105,2000.0190876502
1.615,0.682971718273894,2000.03605442824
1.62,0.680676561680062,2000.03783479234
1.625,0.679037698124128,2000.0261981858
1.63,0.678521562308838,2000.00729995274
1.635,0.679130850534548,1999.98885095451
1.64,0.680476600790941,1999.9771921042
1.645,0.681975074105319,1999.97530575624
1.65,0.683081346054283,1999.98230773326
1.655,0.683472625965371,1999.994363446
1.66,0.683125492766339,2000.00648541333
1.665,0.682276901261133,2000.01444853993
1.67,0.681300814549455,2000.01613880993
1.675,0.680556633114419,2000.01195576464
1.68,0.680266551193657,2000.00427783499
1.685,0.680459919898683,1999.99632394698
1.69,0.680993407621026,1999.99090219265
1.695,0.681628015092863,1999.98949834216
1.7,0.682127220860245,1999.99196754517
1.705,0.682338812267568,1999.99684142113
1.71,0.682234524127887,2000.00204689204
1.715,0.681900348882145,2000.00572204351
1.72,0.681488653516895,2000.00683012236
1.725,0.681154762205662,2000.00539001294
1.73,0.681002496075075,2000.00230345834
1.735,0.681056191570662,1999.99890258174
1.74,0.681264755478442,1999.99641904016
1.745,0.681531302767627,1999.99557168546
1.75,0.681754046334591,1999.99639741311
1.755,0.681862452694508,1999.99834570986
1.76,0.681836840351638,2000.00056251346
1.765,0.681707214917151,2000.0022348999
1.77,0.681535015114767,2000.00286719877
1.775,0.681386805933611,2000.00240334849
1.78,0.681310331797793,2000.00117716734
1.785,0.681320882702011,1999.99973492213
1.79,0.681401089009363,1999.9986119811
1.795,0.681512101887724,1999.99814842176
1.8,0.681610480095657,1999.9984015596
1.805,0.681664014364991,1999.9991705447
1.81,0.681661155692867,2000.00010683054
1.815,0.681611777096355,2000.00085859258
1.82,0.681540368580825,2000.00119354753
1.825,0.681475222324559,2000.00106087899
1.83,0.681437998933996,2000.00058033027
1.835,0.681437241808189,1999.99997372361
1.84,0.681467472553171,1999.99947177657
1.845,0.681513303160993,1999.99923249796
1.85,0.681556345559215,1999.99929770793
1.855,0.681582076144095,1999.99959679421
1.86,0.681584276096125,1999.99998896128
1.865,0.681565885606035,2000.00032322495
1.87,0.681536539693403,2000.00049250254
1.875,0.681508164717602,2000.00046392521
1.88,0.681490471694432,2000.00027857894
1.885,0.681487929304838,2000.00002557775
1.89,0.681499035877844,1999.99980352321
1.895,0.68151778144849,1999.9996847342
1.9,0.681536446813096,1999.99969424522
1.905,0.681548556045148,1999.99980854871
1.91,0.681550931939535,1999.99997140988
1.915,0.681544281103909,2000.0001185683
1.92,0.681532336813361,2000.00020134014
1.925,0.681520084675496,2000.00020108933
